"region","cell_class","panel","gene","bin","z_pre","offset","z_post"
"MTG","Astro","HK","RPLP0",0.55,-0.00720265976095759,0.00065879251592257,-0.00786145227688016
"MTG","Astro","HK","RPLP0",0.65,0.106361272138919,0.0102102428535229,0.0961510292853964
"MTG","Astro","HK","RPLP0",0.75,-0.0410501500779484,5.77811448004009e-05,-0.0411079312227488
"MTG","Astro","HK","RPLP0",0.85,-0.0344205869179588,-0.00660121207881921,-0.0278193748391396
"MTG","Astro","HK","RPLP0",0.95,-0.0992579986368837,-0.0194205615898604,-0.0798374370470232
"MTG","Astro","HK","GUSB",0.15,0.0442525502920565,0.0158398877419187,0.0284126625501378
"MTG","Astro","HK","GUSB",0.25,-0.00787584291538672,0.0116301375692127,-0.0195059804845994
"MTG","Astro","HK","GUSB",0.35,0.000803706680625914,0.00173785494192052,-0.000934148261294608
"MTG","Astro","HK","GUSB",0.45,0.0429445528511959,0.0156015083396798,0.027343044511516
"MTG","Astro","HK","GUSB",0.55,-0.0160545330979422,0.00065879251592257,-0.0167133256138648
"MTG","Astro","HK","GUSB",0.65,0.0168996195297522,0.0102102428535229,0.00668937667622929
"MTG","Astro","HK","GUSB",0.75,-0.0115068243412703,5.77811448004009e-05,-0.0115646054860707
"MTG","Astro","HK","GUSB",0.85,0.0188601862122081,-0.00660121207881921,0.0254613982910274
"MTG","Astro","HK","GUSB",0.95,-0.057417248649539,-0.0194205615898604,-0.0379966870596786
"MTG","Astro","HK","POLR2A",0.15,0.0940405059836907,0.0158398877419187,0.078200618241772
"MTG","Astro","HK","POLR2A",0.25,0.0493269128071307,0.0116301375692127,0.037696775237918
"MTG","Astro","HK","POLR2A",0.35,-0.0503865167786429,0.00173785494192052,-0.0521243717205634
"MTG","Astro","HK","POLR2A",0.45,0.0816359583566842,0.0156015083396798,0.0660344500170044
"MTG","Astro","HK","POLR2A",0.55,0.13745685179011,0.00065879251592257,0.136798059274187
"MTG","Astro","HK","POLR2A",0.65,0.0083065727307874,0.0102102428535229,-0.00190367012273547
"MTG","Astro","HK","POLR2A",0.75,-0.022295885846306,5.77811448004009e-05,-0.0223536669911064
"MTG","Astro","HK","POLR2A",0.85,-0.0175120507923942,-0.00660121207881921,-0.010910838713575
"MTG","Astro","HK","POLR2A",0.95,-0.100895312439042,-0.0194205615898604,-0.0814747508491811
"MTG","Astro","METAB","SLC16A1",0.15,0.185460158989864,0.0158398877419187,0.169620271247945
"MTG","Astro","METAB","SLC16A1",0.25,0.0228604253425337,0.0116301375692127,0.011230287773321
"MTG","Astro","METAB","SLC16A1",0.35,0.0222476509880298,0.00173785494192052,0.0205097960461093
"MTG","Astro","METAB","SLC16A1",0.45,0.00619240807457897,0.0156015083396798,-0.00940910026510086
"MTG","Astro","METAB","SLC16A1",0.55,-0.0569793806712527,0.00065879251592257,-0.0576381731871753
"MTG","Astro","METAB","SLC16A1",0.65,0.0306290634848488,0.0102102428535229,0.020418820631326
"MTG","Astro","METAB","SLC16A1",0.75,-0.0181369352524626,5.77811448004009e-05,-0.018194716397263
"MTG","Astro","METAB","SLC16A1",0.85,-0.000216977002278651,-0.00660121207881921,0.00638423507654056
"MTG","Astro","METAB","SLC16A1",0.95,-0.0338255783359459,-0.0194205615898604,-0.0144050167460854
"MTG","Astro","METAB","SLC16A3",0.15,0.342446108666715,0.0158398877419187,0.326606220924796
"MTG","Astro","METAB","SLC16A3",0.25,0.0627383901241248,0.0116301375692127,0.0511082525549121
"MTG","Astro","METAB","SLC16A3",0.35,0.154349610384334,0.00173785494192052,0.152611755442413
"MTG","Astro","METAB","SLC16A3",0.45,0.0867785092273641,0.0156015083396798,0.0711770008876843
"MTG","Astro","METAB","SLC16A3",0.55,-0.0137372445085204,0.00065879251592257,-0.0143960370244429
"MTG","Astro","METAB","SLC16A3",0.65,0.0477641030949745,0.0102102428535229,0.0375538602414516
"MTG","Astro","METAB","SLC16A3",0.75,-0.0554735607959928,5.77811448004009e-05,-0.0555313419407932
"MTG","Astro","METAB","SLC16A3",0.85,-0.072921912678544,-0.00660121207881921,-0.0663207005997248
"MTG","Astro","METAB","SLC16A3",0.95,-0.122259142884704,-0.0194205615898604,-0.102838581294844
"MTG","Astro","METAB","SLC16A7",0.15,0.161122058994896,0.0158398877419187,0.145282171252977
"MTG","Astro","METAB","SLC16A7",0.25,0.0172923903143926,0.0116301375692127,0.00566225274517993
"MTG","Astro","METAB","SLC16A7",0.35,0.0579578635428385,0.00173785494192052,0.056220008600918
"MTG","Astro","METAB","SLC16A7",0.45,-0.0260832505261962,0.0156015083396798,-0.0416847588658761
"MTG","Astro","METAB","SLC16A7",0.55,0.000824889614604788,0.00065879251592257,0.000166097098682217
"MTG","Astro","METAB","SLC16A7",0.65,0.0425039966078632,0.0102102428535229,0.0322937537543403
"MTG","Astro","METAB","SLC16A7",0.75,-0.0286796246171337,5.77811448004009e-05,-0.0287374057619341
"MTG","Astro","METAB","SLC16A7",0.85,-0.0231495637094171,-0.00660121207881921,-0.0165483516305979
"MTG","Astro","METAB","SLC16A7",0.95,-0.0531998318385561,-0.0194205615898604,-0.0337792702486956
"MTG","Astro","METAB","LDHA",0.15,0.131938798562273,0.0158398877419187,0.116098910820354
"MTG","Astro","METAB","LDHA",0.25,0.0245403428882434,0.0116301375692127,0.0129102053190307
"MTG","Astro","METAB","LDHA",0.35,0.072190021620216,0.00173785494192052,0.0704521666782955
"MTG","Astro","METAB","LDHA",0.45,0.158235859081384,0.0156015083396798,0.142634350741704
"MTG","Astro","METAB","LDHA",0.55,0.0956413724799387,0.00065879251592257,0.0949825799640162
"MTG","Astro","METAB","LDHA",0.65,0.00651791327741951,0.0102102428535229,-0.00369232957610337
"MTG","Astro","METAB","LDHA",0.75,-0.0158183538153813,5.77811448004009e-05,-0.0158761349601817
"MTG","Astro","METAB","LDHA",0.85,-0.0745168854829165,-0.00660121207881921,-0.0679156734040973
"MTG","Astro","METAB","LDHA",0.95,-0.104738104958004,-0.0194205615898604,-0.085317543368144
"MTG","Astro","METAB","LDHB",0.15,-0.0541922184590537,0.0158398877419187,-0.0700321062009723
"MTG","Astro","METAB","LDHB",0.25,-0.0108574576872125,0.0116301375692127,-0.0224875952564252
"MTG","Astro","METAB","LDHB",0.35,0.034617593712008,0.00173785494192052,0.0328797387700875
"MTG","Astro","METAB","LDHB",0.45,0.0551202661915622,0.0156015083396798,0.0395187578518824
"MTG","Astro","METAB","LDHB",0.55,-0.0136304151056213,0.00065879251592257,-0.0142892076215439
"MTG","Astro","METAB","LDHB",0.65,0.0352124921906158,0.0102102428535229,0.025002249337093
"MTG","Astro","METAB","LDHB",0.75,0.057398112772358,5.77811448004009e-05,0.0573403316275576
"MTG","Astro","METAB","LDHB",0.85,-0.0378918980339077,-0.00660121207881921,-0.0312906859550885
"MTG","Astro","METAB","LDHB",0.95,-0.122898573619806,-0.0194205615898604,-0.103478012029946
"MTG","Astro","METAB","PKM",0.15,-0.0282117864889225,0.0158398877419187,-0.0440516742308411
"MTG","Astro","METAB","PKM",0.25,0.0959260816584311,0.0116301375692127,0.0842959440892184
"MTG","Astro","METAB","PKM",0.35,0.0392489810051365,0.00173785494192052,0.0375111260632159
"MTG","Astro","METAB","PKM",0.45,0.0514129985736156,0.0156015083396798,0.0358114902339358
"MTG","Astro","METAB","PKM",0.55,0.173887272834558,0.00065879251592257,0.173228480318635
"MTG","Astro","METAB","PKM",0.65,-0.0843216964770668,0.0102102428535229,-0.0945319393305896
"MTG","Astro","METAB","PKM",0.75,-0.0355387618265116,5.77811448004009e-05,-0.035596542971312
"MTG","Astro","METAB","PKM",0.85,-0.0640104990455878,-0.00660121207881921,-0.0574092869667685
"MTG","Astro","METAB","PKM",0.95,0.00494866892747396,-0.0194205615898604,0.0243692305173344
"MTG","Astro","METAB","PFKL",0.15,-0.0982052825241271,0.0158398877419187,-0.114045170266046
"MTG","Astro","METAB","PFKL",0.25,-0.0681657113042525,0.0116301375692127,-0.0797958488734651
"MTG","Astro","METAB","PFKL",0.35,0.0584278863028901,0.00173785494192052,0.0566900313609696
"MTG","Astro","METAB","PFKL",0.45,0.0130225352933174,0.0156015083396798,-0.00257897304636245
"MTG","Astro","METAB","PFKL",0.55,0.181071705455354,0.00065879251592257,0.180412912939432
"MTG","Astro","METAB","PFKL",0.65,-0.0147134563006647,0.0102102428535229,-0.0249236991541876
"MTG","Astro","METAB","PFKL",0.75,-0.0688587491410211,5.77811448004009e-05,-0.0689165302858215
"MTG","Astro","METAB","PFKL",0.85,-0.00455273477704799,-0.00660121207881921,0.00204847730177122
"MTG","Astro","METAB","PFKL",0.95,-0.0142143265385845,-0.0194205615898604,0.00520623505127596
"MTG","Astro","METAB","PFKM",0.15,0.0248513336246228,0.0158398877419187,0.00901144588270416
"MTG","Astro","METAB","PFKM",0.25,0.00782055348998455,0.0116301375692127,-0.00380958407922814
"MTG","Astro","METAB","PFKM",0.35,0.0264902920489949,0.00173785494192052,0.0247524371070744
"MTG","Astro","METAB","PFKM",0.45,0.0735910681303184,0.0156015083396798,0.0579895597906385
"MTG","Astro","METAB","PFKM",0.55,0.0119818582699541,0.00065879251592257,0.0113230657540315
"MTG","Astro","METAB","PFKM",0.65,0.0466571415952796,0.0102102428535229,0.0364468987417567
"MTG","Astro","METAB","PFKM",0.75,-0.00101048361830203,5.77811448004009e-05,-0.00106826476310243
"MTG","Astro","METAB","PFKM",0.85,-0.0247277994574601,-0.00660121207881921,-0.0181265873786409
"MTG","Astro","METAB","PFKM",0.95,-0.0853823124997246,-0.0194205615898604,-0.0659617509098642
"MTG","Astro","METAB","ALDOA",0.15,0.0742050949829309,0.0158398877419187,0.0583652072410123
"MTG","Astro","METAB","ALDOA",0.25,-0.0163686338202473,0.0116301375692127,-0.02799877138946
"MTG","Astro","METAB","ALDOA",0.35,0.0302607021864166,0.00173785494192052,0.028522847244496
"MTG","Astro","METAB","ALDOA",0.45,0.0586206969234501,0.0156015083396798,0.0430191885837703
"MTG","Astro","METAB","ALDOA",0.55,-0.0315671607803088,0.00065879251592257,-0.0322259532962314
"MTG","Astro","METAB","ALDOA",0.65,0.0735430283462889,0.0102102428535229,0.063332785492766
"MTG","Astro","METAB","ALDOA",0.75,-0.0315125973251881,5.77811448004009e-05,-0.0315703784699885
"MTG","Astro","METAB","ALDOA",0.85,-0.00814531967668237,-0.00660121207881921,-0.00154410759786316
"MTG","Astro","METAB","ALDOA",0.95,-0.0167878050941235,-0.0194205615898604,0.0026327564957369
"MTG","Astro","METAB","ALDOC",0.15,0.0398199013268283,0.0158398877419187,0.0239800135849097
"MTG","Astro","METAB","ALDOC",0.25,-0.0415967198723493,0.0116301375692127,-0.053226857441562
"MTG","Astro","METAB","ALDOC",0.35,-0.0367662115769681,0.00173785494192052,-0.0385040665188886
"MTG","Astro","METAB","ALDOC",0.45,-0.0491295789613686,0.0156015083396798,-0.0647310873010485
"MTG","Astro","METAB","ALDOC",0.55,-0.0434677018878282,0.00065879251592257,-0.0441264944037508
"MTG","Astro","METAB","ALDOC",0.65,0.199471269893979,0.0102102428535229,0.189261027040456
"MTG","Astro","METAB","ALDOC",0.75,-0.057383338407328,5.77811448004009e-05,-0.0574411195521284
"MTG","Astro","METAB","ALDOC",0.85,0.0146291406635645,-0.00660121207881921,0.0212303527423837
"MTG","Astro","METAB","ALDOC",0.95,0.0451310511945154,-0.0194205615898604,0.0645516127843758
"MTG","Astro","METAB","ENO1",0.15,0.0413311791847292,0.0158398877419187,0.0254912914428106
"MTG","Astro","METAB","ENO1",0.25,-0.0798463586936628,0.0116301375692127,-0.0914764962628755
"MTG","Astro","METAB","ENO1",0.35,0.0914099704846773,0.00173785494192052,0.0896721155427568
"MTG","Astro","METAB","ENO1",0.45,0.113888159487913,0.0156015083396798,0.0982866511482334
"MTG","Astro","METAB","ENO1",0.55,-0.0672884325881715,0.00065879251592257,-0.0679472251040941
"MTG","Astro","METAB","ENO1",0.65,0.035283124080121,0.0102102428535229,0.0250728812265981
